target_id	length	eff_length	est_counts	tpm
g57.t1.cds1	1638	1397.84	3727	39.425
g58.t1.cds1	570	331.527	15222	678.926
g59.t1.cds1	738	498.02	7033	208.816
g60.t1.cds1	1353	1112.84	2011	267.208
g61.t1.cds1	381	158.017	1750	163.758
g62.t1.cds1	825	584.969	1709.35	432.082
g63.t1.cds1	2730	2489.84	3473	206.254
g64.t1.cds1	585	346.222	6800.89	290.456
g65.t1.cds1	480	244.946	2205	133.109
g66.t1.cds1	471	236.606	2851	178.172
g67.t1.cds1	2802	2561.84	4524	26.112
g68.t1.cds1	1434	1193.84	1418	175.631
g69.t1.cds1	384	160.381	1240	114.324
g70.t1.cds1	3126	2885.84	4068	208.439
g71.t1.cds1	1626	1385.84	2148	229.188
g72.t1.cds1	3024	2783.84	3983	211.561
g73.t1.cds1	468	233.87	570	360.387
g74.t1.cds1	1809	1568.84	6039	569.189
g75.t1.cds1	1296	1055.84	4540	635.812
g76.t1.cds1	1206	965.836	6128	938.176
g77.t1.cds1	2037	1796.84	1712	140.885
g78.t1.cds1	1158	917.836	1526	245.843
g79.t1.cds1	1809	1568.84	3901	367.678
g80.t1.cds1	1530	1289.84	4057	465.093
g81.t1.cds1	876	635.91	4273	993.588
g82.t1.cds1	1923	1682.84	5365	471.408
g83.t1.cds1	3435	3194.84	6916	320.092
g84.t1.cds1	2133	1892.84	7431	580.501
g85.t1.cds1	1284	1043.84	1140	161.488
g86.t1.cds1	1530	1289.84	4377	501.777
g87.t1.cds1	459	225.503	16441	1078.07
g88.t1.cds1	1941	1700.84	5189	451.118
g89.t1.cds1	378	155.73	7924	752.388
g90.t1.cds1	567	328.56	6813	306.615
g91.t1.cds1	1353	1112.84	5229	694.795
g92.t1.cds1	2760	2519.84	42694	250.532
g93.t1.cds1	1320	1079.84	2732	374.104
g94.t1.cds1	924	683.91	5432	117.444
g95.t1.cds1	804	563.969	2964	777.127
g96.t1.cds1	717	477.069	1877	581.771
g97.t1.cds1	1083	842.836	6434	112.877
g98.t1.cds1	2604	2363.84	1586	992.099
g99.t1.cds1	801	560.969	4168	109.865
g100.t1.cds1	1149	908.836	4220	686.588
g101.t1.cds1	2091	1850.84	7244	578.735
g102.t1.cds1	1047	806.836	2002	36.69
g103.t1.cds1	2184	1943.84	19261	146.517
g104.t1.cds1	537	299.346	2032	100.374
g105.t1.cds1	348	132.018	363	406.575
g106.t1.cds1	2076	1835.84	4868	39.209
g107.t1.cds1	297	944.698	2014	315.236
g108.t1.cds1	765	524.969	4935	139.003
g109.t1.cds1	2622	2381.84	6508	404.022
g110.t1.cds1	681	441.114	7701	258.146
g111.t1.cds1	1215	974.836	4004	607.339
g112.t1.cds1	1866	1625.84	4292	390.348
g113.t1.cds1	876	635.91	3978	924.992
g114.t1.cds1	3864	3623.84	1915	781.393
g115.t1.cds1	1647	1406.84	6758	710.303
g116.t1.cds1	516	279.045	2567	136.026
g117.t1.cds1	348	132.018	3048	341.389
g118.t1.cds1	1392	1151.84	4560	585.387
g119.t1.cds1	543	305.133	1368	662.926
g120.t1.cds1	3210	2969.84	10873	54.136
g121.t1.cds1	786	545.969	2284	618.582
g122.t1.cds1	1149	908.836	3841	624.925
g123.t1.cds1	2376	2135.84	4231	292.917
g124.t1.cds1	1833	1592.84	8753	812.559
g125.t1.cds1	2787	2546.84	5507	31.973
g126.t1.cds1	1515	1274.84	7644	886.616
g127.t1.cds1	2847	2606.84	4130	234.264
g128.t1.cds1	1365	1124.84	4282	562.894
g129.t1.cds1	552	313.947	4705	221.601
g130.t1.cds1	2823	2582.84	8417	48.187
g131.t1.cds1	7830	7589.84	15049	293.187
g132.t1.cds1	855	614.91	4784	115.04
g133.t1.cds1	849	608.91	3354	814.477
g134.t1.cds1	657	417.284	4500	159.459
g135.t1.cds1	294	925.161	1014	162.065
g136.t1.cds1	1173	932.836	1891	299.747
g137.t1.cds1	1407	1166.84	7928	100.467
g138.t1.cds1	342	127.481	2905	336.953
g139.t1.cds1	1194	953.836	1476	228.814
g140.t1.cds1	1416	1175.84	63774	801.984
g141.t1.cds1	1266	1025.84	4277	616.496
g142.t1.cds1	1800	1559.84	5257	498.343
g143.t1.cds1	639	399.448	2138	791.437
g144.t1.cds1	813	572.969	12371.3	319.266
g145.t1.cds1	804	563.969	111.465	0.292249
g146.t1.cds1	459	225.503	956.748	0.627358
g147.t1.cds1	642	402.448	200.041	0.734985
g148.t1.cds1	1728	1487.84	5083	505.166
g149.t1.cds1	324	113.964	2507	325.279
g150.t1.cds1	258	705.532	10005	2096.86
g151.t1.cds1	1398	1157.84	5008	639.567
g152.t1.cds1	858	617.91	4279	102.397
g153.t1.cds1	2625	2384.84	10325	640.178
g154.t1.cds1	609	369.755	3597	143.845
g155.t1.cds1	417	188.123	1648	129.534
g156.t1.cds1	1788	1547.84	6669	637.096
g157.t1.cds1	696	456.069	4160	134.875
g158.t1.cds1	1701	1460.84	3133.36	317.159
g159.t1.cds1	1059	818.836	3606	651.175
g160.t1.cds1	3219	2978.84	9166	45.499
g161.t1.cds1	1221	980.836	2470	372.366
g162.t1.cds1	804	563.969	5130	134.503
g163.t1.cds1	1173	932.836	4622	732.645
g164.t1.cds1	618	378.643	4442	173.467
g165.t1.cds1	777	536.969	2638	726.432
g166.t1.cds1	333	120.604	1677	205.609
g167.t1.cds1	1428	1187.84	10189	126.836
g168.t1.cds1	336	122.952	1749	210.34
g169.t1.cds1	1941	1700.84	14827	128.902
g170.t1.cds1	1059	818.836	3341	603.321
g171.t1.cds1	639	399.448	3899	144.332
g172.t1.cds1	1782	1541.84	5439	521.615
g173.t1.cds1	888	647.91	4891	111.623
g174.t1.cds1	1320	1079.84	10386.1	142.22
g175.t1.cds1	996	755.836	12353	241.665
g176.t1.cds1	1440	1199.84	2202	271.372
g177.t1.cds1	1416	1175.84	3895	489.812
g178.t1.cds1	1824	1583.84	5022	468.852
g179.t1.cds1	2007	1766.84	7098	594.031
g180.t1.cds1	381	158.017	4327	404.904
g181.t1.cds1	1347	1106.84	6505	869.027
g182.t1.cds1	2484	2243.84	9031	595.133
g183.t1.cds1	1314	1073.84	5970	822.064
g184.t1.cds1	1638	1397.84	15102	159.752
g185.t1.cds1	1086	845.836	6500	113.631
g186.t1.cds1	1149	908.836	2287	372.091
g187.t1.cds1	642	402.448	2853	104.824
g188.t1.cds1	2340	2099.84	29783	209.726
g189.t1.cds1	840	599.91	2318	571.342
g190.t1.cds1	1362	1121.84	4193	552.668
g191.t1.cds1	2325	2084.84	7352	521.438
g192.t1.cds1	1290	1049.84	10142	142.847
g193.t1.cds1	486	250.669	20430.2	1205.15
g194.t1.cds1	13800	13559.8	15211	165.872
g195.t1.cds1	2499	2258.84	5259	344.261
g196.t1.cds1	1044	803.836	3774	69.423
g197.t1.cds1	2235	1994.84	5072	37.596
g198.t1.cds1	468	233.87	1760	111.277
g199.t1.cds1	1464	1223.84	1344.52	162.447
g200.t1.cds1	1467	1226.84	5160.48	621.975
g201.t1.cds1	1257	1016.84	6663	96.892
g202.t1.cds1	1296	1055.84	5403	756.672
g203.t1.cds1	1455	1214.84	5191	631.833
g204.t1.cds1	3420	3179.84	8167	379.775
g205.t1.cds1	498	261.838	4515	254.973
g206.t1.cds1	795	554.969	8074	215.124
g207.t1.cds1	5100	4859.84	17692	53.83
g208.t1.cds1	933	692.91	11550	246.476
g209.t1.cds1	1914	1673.84	5186	45.813
g210.t1.cds1	744	504.02	4697	137.798
g211.t1.cds1	312	104.792	1100	155.215
g212.t1.cds1	1014	773.836	3180	607.641
g213.t1.cds1	8526	8285.84	10704	19.102
g214.t1.cds1	2241	2000.84	5915	437.132
g215.t1.cds1	5202	4961.84	7918	235.962
g216.t1.cds1	1488	1247.84	7425	879.849
g217.t1.cds1	1512	1271.84	4441	51.632
g218.t1.cds1	312	104.792	16657	2350.38
g219.t1.cds1	1890	1649.84	7406	663.761
g220.t1.cds1	2448	2207.84	6969	466.737
g221.t1.cds1	1062	821.836	3891	700.076
g222.t1.cds1	2070	1829.84	6724	543.356
g223.t1.cds1	702	462.069	3251	104.035
g224.t1.cds1	1863	1622.84	5628	512.801
g225.t1.cds1	654	414.284	4922	175.676
g226.t1.cds1	1527	1286.84	5616	645.317
g227.t1.cds1	1302	1061.84	3195	444.921
g228.t1.cds1	2589	2348.84	10110	636.455
g229.t1.cds1	1779	1538.84	5050	485.253
g230.t1.cds1	1362	1121.84	4267	562.422
g231.t1.cds1	369	148.409	3282	327
g232.t1.cds1	1443	1202.84	3504	430.751
g233.t1.cds1	270	775.059	15347.8	2928.07
g234.t1.cds1	948	707.91	10122.2	211.43
g235.t1.cds1	1704	1463.84	17480.4	176.575
g236.t1.cds1	1695	1454.84	537.848	0.546657
g237.t1.cds1	1704	1463.84	17480.4	176.575
g238.t1.cds1	2961	2720.84	6931	376.671
g239.t1.cds1	939	698.91	7932	167.815
g240.t1.cds1	348	132.018	1527	171.03
g241.t1.cds1	756	515.969	4433	127.041
g242.t1.cds1	723	483.069	2341	716.575
g243.t1.cds1	327	116.091	13071	1664.86
g244.t1.cds1	1677	1436.84	430.793	0.443334
g245.t1.cds1	1260	1019.84	4673	677.539
g246.t1.cds1	1182	941.836	7505	117.827
g247.t1.cds1	2433	2192.84	4189	282.471
g248.t1.cds1	1299	1058.84	2452	342.421
g249.t1.cds1	915	674.91	2179	477.398
g250.t1.cds1	876	635.91	1442	335.304
g251.t1.cds1	2175	1934.84	4469	341.535
g252.t1.cds1	1068	827.836	2944	525.851
g253.t1.cds1	396	170.211	1284	111.544
g254.t1.cds1	1764	1523.84	7523	729.998
g255.t1.cds1	738	498.02	3907	116.002
g256.t1.cds1	741	501.02	7440	219.577
g257.t1.cds1	717	477.069	2819	873.742
g258.t1.cds1	360	141.332	3644	381.249
g259.t1.cds1	2121	1880.84	4582	360.224
g260.t1.cds1	702	462.069	750.393	240.133
g261.t1.cds1	1461	1220.84	11555	139.953
g262.t1.cds1	813	572.969	1077	277.942
g263.t1.cds1	1728	1487.84	3794	377.061
g264.t1.cds1	3774	3533.84	5137	214.947
g265.t1.cds1	1035	794.836	8782	163.375
g266.t1.cds1	528	290.671	4262	216.811
g267.t1.cds1	1458	1217.84	4167	505.945
g268.t1.cds1	966	725.91	2639	537.558
g269.t1.cds1	957	716.91	18237	376.147
g270.t1.cds1	345	129.673	891	101.601
g271.t1.cds1	996	755.836	6731	131.68
g272.t1.cds1	1260	1019.84	180206	2612.81
g273.t1.cds1	885	644.91	3256	746.542
g274.t1.cds1	1893	1652.84	2126	190.197
g275.t1.cds1	1038	797.836	18332	339.755
g276.t1.cds1	960	719.91	2904	596.468
g277.t1.cds1	2367	2126.84	4001	278.166
g278.t1.cds1	2490	2249.84	7633	501.665
g279.t1.cds1	312	104.792	1356	191.338
g280.t1.cds1	807	566.969	1831	477.527
g281.t1.cds1	1611	1370.84	3923	423.157
g282.t1.cds1	1371	1130.84	8734	114.204
g283.t1.cds1	438	206.368	2670	191.31
g284.t1.cds1	1665	1424.84	3216	333.749
g285.t1.cds1	2583	2342.84	7773	490.587
g286.t1.cds1	702	462.069	2906	929.946
g287.t1.cds1	1917	1676.84	2748	242.323
g288.t1.cds1	1587	1346.84	6740	73.997
g289.t1.cds1	1023	782.836	6702	126.591
g290.t1.cds1	3831	3590.84	1330.21	547.762
g291.t1.cds1	453	219.867	6977	469.22
g292.t1.cds1	960	719.91	127	260.852
g293.t1.cds1	2112	1871.84	7241	572.005
g294.t1.cds1	1923	1682.84	4090	359.377
g295.t1.cds1	639	399.448	837.694	0.310094
g296.t1.cds1	543	305.133	27520	1333.61
g297.t1.cds1	690	450.114	1801	591.643
g298.t1.cds1	765	524.969	3650	102.808
g299.t1.cds1	1986	1745.84	9181	777.599
g300.t1.cds1	1050	809.836	3446	629.198
g301.t1.cds1	969	728.91	7007	142.144
g302.t1.cds1	693	453.114	3249	106.026
g303.t1.cds1	1713	1472.84	3433	344.658
g304.t1.cds1	462	228.317	2242	145.2
g305.t1.cds1	423	193.289	4145	317.093
g306.t1.cds1	1284	1043.84	5158	730.665
g307.t1.cds1	639	399.448	69218.6	2562.31
g308.t1.cds1	600	360.938	4340	177.798
g309.t1.cds1	2442	2201.84	9722	65.289
g310.t1.cds1	804	563.969	8468.71	222.04
g311.t1.cds1	2931	2690.84	4829	265.362
g312.t1.cds1	636	396.488	3844	143.358
g313.t1.cds1	669	429.158	2747	946.479
g314.t1.cds1	351	134.34	2276	250.516
g315.t1.cds1	3570	3329.84	6120	271.768
g316.t1.cds1	336	122.952	2249	270.472
g317.t1.cds1	786	545.969	1512	409.499
g318.t1.cds1	2694	2453.84	7589	457.307
g319.t1.cds1	1524	1283.84	3390	390.444
g320.t1.cds1	816	575.969	2176	558.636
g321.t1.cds1	747	507.02	2193	639.562
g322.t1.cds1	486	250.669	1631	962.106
g323.t1.cds1	1035	794.836	23131	430.314
g324.t1.cds1	978	737.91	27091.6	542.876
g325.t1.cds1	6996	6755.84	11267	246.603
g326.t1.cds1	1575	1334.84	4479	49.616
g327.t1.cds1	552	313.947	2193	103.288
g328.t1.cds1	3129	2888.84	8246	422.075
g329.t1.cds1	1128	887.836	709.703	118.199
g330.t1.cds1	1128	887.836	21666.5	360.849
g331.t1.cds1	1128	887.836	21666.5	360.849
g332.t1.cds1	759	518.969	1195.93	340.749
g333.t1.cds1	717	477.069	700.846	0.217225
g334.t1.cds1	720	480.069	351.202	108.174
g335.t1.cds1	972	731.91	9345	188.795
g336.t1.cds1	1068	827.836	4407	787.169
g337.t1.cds1	1824	1583.84	4956	46.269
g338.t1.cds1	1122	881.836	4298	720.689
g339.t1.cds1	573	334.493	5201	229.916
g340.t1.cds1	759	518.969	3476	990.393
g341.t1.cds1	843	602.91	3726	913.817
g342.t1.cds1	252	672.218	5664	1245.9
g343.t1.cds1	723	483.069	3043	931.455
g344.t1.cds1	750	510.02	2172	629.711
g345.t1.cds1	1356	1115.84	5066	671.327
g346.t1.cds1	2160	1919.84	6459	497.474
g347.t1.cds1	1227	986.836	4736	709.636
g348.t1.cds1	252	672.218	2082.28	458.035
g349.t1.cds1	1713	1472.84	5301	532.197
g350.t1.cds1	498	261.838	5003	282.532
g351.t1.cds1	300	963.668	6566	1007.49
g352.t1.cds1	1455	1214.84	4435	539.815
g353.t1.cds1	1668	1427.84	13035	134.99
g354.t1.cds1	1521	1280.84	2564	296.001
g355.t1.cds1	2781	2540.84	6019	350.281
g356.t1.cds1	996	755.836	4801	939.233
g357.t1.cds1	996	755.836	2833	554.227
g358.t1.cds1	945	704.91	15576	326.732
g359.t1.cds1	2199	1958.84	5570	420.461
g360.t1.cds1	612	372.718	6255	248.151
g361.t1.cds1	1872	1631.84	9338	846.148
g362.t1.cds1	1338	1097.84	3325	44.784
g363.t1.cds1	324	113.964	4062	527.037
g364.t1.cds1	1053	812.836	1855	33.745
g365.t1.cds1	3057	2816.84	9607	504.307
g366.t1.cds1	210	464.201	2262	720.536
g367.t1.cds1	750	510.02	5618	162.878
g368.t1.cds1	1071	830.836	12159	216.397
g369.t1.cds1	1014	773.836	4440	848.405
g370.t1.cds1	924	683.91	2933	634.135
g371.t1.cds1	4275	4034.84	10893	39.92
g372.t1.cds1	1062	821.836	5727	103.041
g373.t1.cds1	453	219.867	2414	162.347
g374.t1.cds1	1038	797.836	5524	102.379
g375.t1.cds1	414	185.572	4886	389.323
g376.t1.cds1	957	716.91	5183	106.902
g377.t1.cds1	1137	896.836	3886	640.706
g378.t1.cds1	348	132.018	3508	392.911
g379.t1.cds1	1329	1088.84	7668	104.133
g380.t1.cds1	336	122.952	2206	265.3
g381.t1.cds1	1476	1235.84	9645	115.401
g382.t1.cds1	1326	1085.84	2718	37.013
g383.t1.cds1	414	185.572	2710	215.936
g384.t1.cds1	864	623.91	2950	699.148
g385.t1.cds1	1494	1253.84	6076	716.549
g386.t1.cds1	1044	803.836	2844	523.156
g387.t1.cds1	4374	4133.84	5699	203.852
g388.t1.cds1	2610	2369.84	8773	547.393
g389.t1.cds1	621	381.567	2582	100.059
g390.t1.cds1	447	214.334	3670	253.189
g391.t1.cds1	555	316.915	39464	1841.31
g392.t1.cds1	225	535.155	3894	1075.93
g393.t1.cds1	237	59.495	2692	669.058
g394.t1.cds1	1899	1658.84	6054	539.645
g395.t1.cds1	285	86.826	1433	244.042
g396.t1.cds1	951	710.91	15425	320.833
g397.t1.cds1	621	381.567	6679	258.827
g398.t1.cds1	465	231.083	3696	236.501
g399.t1.cds1	1113	872.836	5729	970.544
g400.t1.cds1	597	358.046	32039	1323.15
g401.t1.cds1	6630	6389.84	32843	760.015
g402.t1.cds1	1032	791.836	3099	578.702
g403.t1.cds1	1773	1532.84	5565	536.832
g404.t1.cds1	1596	1355.84	4462	486.622
g405.t1.cds1	762	521.969	4177	118.328
g406.t1.cds1	3168	2927.84	4000	202.014
g407.t1.cds1	2208	1967.84	5124	385.025
g408.t1.cds1	504	267.623	5643	311.785
g409.t1.cds1	1038	797.836	4358	807.686
g410.t1.cds1	831	590.91	3651	913.607
g411.t1.cds1	720	480.069	2488	76.633
g412.t1.cds1	1173	932.836	8166	129.441
g413.t1.cds1	867	626.91	8593	202.679
g414.t1.cds1	534	296.436	1492	744.231
g415.t1.cds1	1731	1490.84	7375	731.478
g416.t1.cds1	594	355.081	3705	154.287
g417.t1.cds1	1467	1226.84	6357	766.187
g418.t1.cds1	1926	1685.84	8087	709.318
g419.t1.cds1	1650	1409.84	44982	471.78
g420.t1.cds1	711	471.069	3535	110.962
g421.t1.cds1	1011	770.836	4207	807.011
g422.t1.cds1	783	542.969	4315	117.51
g423.t1.cds1	3213	2972.84	3843	191.147
g424.t1.cds1	336	122.952	1978	237.88
g425.t1.cds1	2172	1931.84	4216	32.27
g426.t1.cds1	663	423.2	5643	197.167
g427.t1.cds1	978	737.91	6211	124.459
g428.t1.cds1	1671	1430.84	3953	408.513
g429.t1.cds1	7191	6950.84	15602	331.904
g430.t1.cds1	1482	1241.84	4199	499.978
g431.t1.cds1	1659	1418.84	6323	658.961
g432.t1.cds1	303	985.341	5045	757.083
g433.t1.cds1	1704	1463.84	18261	184.46
g434.t1.cds1	741	501.02	3945	116.429
g435.t1.cds1	765	524.969	8912	251.021
g436.t1.cds1	921	680.91	4628	100.502
g437.t1.cds1	1098	857.836	2377	409.726
g438.t1.cds1	444	211.64	6395	446.799
g439.t1.cds1	417	188.123	17202.5	1352.13
g440.t1.cds1	417	188.123	17202.5	1352.13
g441.t1.cds1	435	203.686	49591.2	3600.09
g442.t1.cds1	729	489.02	19436.8	587.715
g443.t1.cds1	2340	2099.84	5341	376.103
g444.t1.cds1	1146	905.836	4827	787.947
g445.t1.cds1	1302	1061.84	30762	428.377
g446.t1.cds1	726	486.069	2997	911.713
g447.t1.cds1	735	495.02	32069	957.925
g448.t1.cds1	741	501.02	1781	525.627
g449.t1.cds1	678	438.114	2682	905.191
g450.t1.cds1	558	319.819	3931	181.747
g451.t1.cds1	495	259.101	6748	385.101
g452.t1.cds1	537	299.346	2165	106.943
g453.t1.cds1	909	668.91	3793	838.463
g454.t1.cds1	3003	2762.84	5014	268.348
g455.t1.cds1	1536	1295.84	6844	78.096
g456.t1.cds1	966	725.91	1356	276.214
g457.t1.cds1	903	662.91	3053	680.991
g458.t1.cds1	633	393.488	4980	187.14
g459.t1.cds1	3774	3533.84	14870	622.205
g460.t1.cds1	594	355.081	5163	215.002
g461.t1.cds1	1326	1085.84	10313	140.44
g462.t1.cds1	1566	1325.84	4800	535.329
g463.t1.cds1	1368	1127.84	3514	460.707
g464.t1.cds1	384	160.381	4440	409.353
g465.t1.cds1	1746	1505.84	3204	314.618
g466.t1.cds1	948	707.91	5440	113.629
g467.t1.cds1	1767	1526.84	2883	279.204
g468.t1.cds1	1563	1322.84	5897	659.165
g469.t1.cds1	2889	2648.84	8020	447.701
g470.t1.cds1	6048	5807.84	11474	292.126
g471.t1.cds1	1233	992.836	3246	483.437
g472.t1.cds1	1437	1196.84	5500	679.512
g473.t1.cds1	615	375.68	2885	113.552
g474.t1.cds1	267	759.213	1073	208.98
g475.t1.cds1	876	635.91	6594	153.328
g476.t1.cds1	564	325.625	31872	1447.31
g477.t1.cds1	378	155.73	2667	253.233
g478.t1.cds1	882	641.91	8455	194.764
g479.t1.cds1	1065	824.836	4267	764.934
g480.t1.cds1	1224	983.836	67929	1020.94
g481.t1.cds1	1224	983.836	67929	1020.94
g482.t1.cds1	705	465.069	4332	137.734
g483.t1.cds1	2013	1772.84	8258	688.772
g484.t1.cds1	1785	1544.84	12637	120.957
g485.t1.cds1	516	279.045	18060	957.003
g486.t1.cds1	708	468.069	1529	483.022
g487.t1.cds1	549	310.978	1622	77.124
g488.t1.cds1	729	489.02	2998	906.513
g489.t1.cds1	1275	1034.84	3960	565.839
g490.t1.cds1	702	462.069	2436	779.542
g491.t1.cds1	1101	860.836	4143	711.645
g492.t1.cds1	1236	995.836	10289	152.776
g493.t1.cds1	1536	1295.84	4986	568.946
g494.t1.cds1	360	141.332	808	845.359
g495.t1.cds1	3594	3353.84	21172	933.446
g496.t1.cds1	1077	836.836	5056	893.379
g497.t1.cds1	747	507.02	2508	731.428
g498.t1.cds1	615	375.68	3530	138.939
g499.t1.cds1	396	170.211	3824	332.2
g500.t1.cds1	1176	935.836	3609	570.238
g501.t1.cds1	1347	1106.84	12231	163.398
g502.t1.cds1	1182	941.836	4061	637.568
g503.t1.cds1	1023	782.836	10943	206.697
g504.t1.cds1	3087	2846.84	6293	326.862
g505.t1.cds1	3204	2963.84	6106	304.629
g506.t1.cds1	3141	2900.84	7072	360.486
g507.t1.cds1	372	150.867	4359	427.229
g508.t1.cds1	1770	1529.84	5278	510.145
g509.t1.cds1	1704	1463.84	3986	402.637
g510.t1.cds1	423	193.289	1071	819.316
g511.t1.cds1	2034	1793.84	5739	473.067
g512.t1.cds1	420	190.688	2851	221.076
g513.t1.cds1	1725	1484.84	10019	997.734
g514.t1.cds1	3786	3545.84	9990	416.597
g515.t1.cds1	1770	1529.84	3522	340.419
g516.t1.cds1	1221	980.836	4288	646.439
g517.t1.cds1	1404	1163.84	1663	211.285
g518.t1.cds1	549	310.978	2587	123.009
g519.t1.cds1	906	665.91	4792	106.407
g520.t1.cds1	1263	1022.84	3747	541.685
g521.t1.cds1	3459	3218.84	5588	25.67
g522.t1.cds1	1536	1295.84	6304	719.342
g523.t1.cds1	495	259.101	3571	203.793
g524.t1.cds1	1254	1013.84	2660	387.956
g525.t1.cds1	1920	1679.84	4042	355.794
g526.t1.cds1	1431	1190.84	2281.24	283.262
g527.t1.cds1	540	302.195	21	102.755
g528.t1.cds1	900	659.91	3222	721.954
g529.t1.cds1	354	136.791	1129	122.041
g530.t1.cds1	399	172.738	980	838.893
g531.t1.cds1	1266	1025.84	2478	357.184
g532.t1.cds1	1491	1250.84	2623	310.075
g533.t1.cds1	861	620.91	2823	672.281
g534.t1.cds1	303	985.341	1087	163.122
g535.t1.cds1	1431	1190.84	5816	722.173
g536.t1.cds1	894	653.91	1924	435.067
g537.t1.cds1	969	728.91	3820	774.923
g538.t1.cds1	5700	5459.84	7230	195.807
g539.t1.cds1	810	569.969	3726	966.631
g540.t1.cds1	447	214.334	316	218.004
g541.t1.cds1	1266	1025.84	8008	115.429
g542.t1.cds1	924	683.91	1946	420.739
g543.t1.cds1	4677	4436.84	10867	362.164
g544.t1.cds1	456	222.732	621	412.267
g545.t1.cds1	312	104.792	1611	227.32
g546.t1.cds1	450	217.091	1429	973.328
g547.t1.cds1	1473	1232.84	14257	170.998
g548.t1.cds1	1881	1640.84	4268	384.617
g549.t1.cds1	861	620.91	3328	792.544
g550.t1.cds1	2730	2489.84	11290	67.049
g551.t1.cds1	489	253.438	1318	768.975
g552.t1.cds1	1050	809.836	5311	969.724
g553.t1.cds1	1131	890.836	1693	281.014
g554.t1.cds1	1266	1025.84	4637	668.387
g555.t1.cds1	2673	2432.84	9437	573.575
g556.t1.cds1	1365	1124.84	2182	286.837
g557.t1.cds1	5985	5744.84	6828	175.746
g558.t1.cds1	984	743.836	3585	712.658
g559.t1.cds1	546	308.072	11608.6	557.181
g560.t1.cds1	546	308.072	1310.47	628.992
g561.t1.cds1	546	308.072	1310.47	628.992
g562.t1.cds1	546	308.072	1310.47	628.992
g563.t1.cds1	708	468.069	1735	548.099
g564.t1.cds1	852	611.91	3353	810.242
g565.t1.cds1	978	737.91	1416	283.745
g566.t1.cds1	855	614.91	4710.97	113.284
g567.t1.cds1	492	256.309	41001	2365.37
g568.t1.cds1	477	242.193	1278	780.258
g569.t1.cds1	2238	1997.84	4571	338.314
g570.t1.cds1	1284	1043.84	1568	222.118
g571.t1.cds1	1527	1286.84	3211	368.966
g572.t1.cds1	1242	1001.84	1984	292.829
g573.t1.cds1	2271	2030.84	8444	614.812
g574.t1.cds1	1044	803.836	5556	102.203
g575.t1.cds1	615	375.68	4770	187.745
g576.t1.cds1	2445	2204.84	6183	41.466
g577.t1.cds1	909	668.91	6812	150.583
g578.t1.cds1	1590	1349.84	3747.28	410.492
