ProteinID	Annotation	IPR	GO	Superfamily	Transcript	TPM	Expression	Total_Peptide	Unique_Peptide
g95.t1	Zinc finger CCCH domain-containing protein 38	IPR000571	GO:0046872	None	False	None	False	None	None
g96.t1	zinc finger protein family memeber	IPR000571,IPR036855	GO:0046872	SSF90229	False	None	False	None	None
g97.t1	cholinephosphate cytidylyltransferase A	IPR004821,IPR044608	GO:0003824,GO:0004306,GO:0006646,GO:0009058	SSF52374	False	None	False	None	None
g98.t1	hypothetical protein	IPR038765	None	SSF54001	False	None	False	None	None
g99.t1	mitochondrial carrier protein	IPR018108,IPR023395	None	SSF103506	False	None	False	None	None
g100.t1	ttaggg binding factor	IPR001005,IPR009057	None	SSF46689	False	None	False	None	None
g101.t1	pre-RNA processing PIH1/Nop17, putative	IPR012981,IPR041442	None	None	False	None	False	None	None
g102.t1	SET domain containing protein, putative	IPR001214	GO:0005515	SSF82199	False	None	False	None	None
g103.t1	Putative proline--tRNA ligase C19C7.06	IPR002314,IPR002316,IPR004154,IPR004499,IPR006195,IPR007214,IPR016061,IPR017449,IPR033721,IPR036754	GO:0000166,GO:0002161,GO:0004812,GO:0004827,GO:0005524,GO:0005737,GO:0006418,GO:0006433	SSF52954,SSF55681,SSF55826,SSF64586	False	None	False	None	None
g104.t1	Complex 1 protein (LYR family), putative	IPR008011	None	None	False	None	False	None	None
g105.t1	hypothetical protein	None	None	None	False	None	False	None	None
g106.t1	Flagellum attachment zone protein 18	None	None	None	False	None	False	None	None
g107.t1	hypothetical protein	None	None	None	False	None	False	None	None
g108.t1	Zinc finger, C3HC4 type (RING finger) containing protein	IPR001841	None	SSF57850	False	None	False	None	None
g109.t1	Basal body protein	None	None	None	False	None	False	None	None
g110.t1	Ras-related protein Rab-5B	IPR001806,IPR005225,IPR027417	GO:0003924,GO:0005525	SSF52540	False	None	False	None	None
g111.t1	methyltransferase, putative	IPR001678,IPR029063	GO:0008168	SSF53335	False	None	False	None	None
g112.t1	Probable 3',5'-cyclic phosphodiesterase pde-1	IPR002073,IPR003607,IPR023088,IPR023174	GO:0004114,GO:0007165,GO:0008081	SSF109604	False	None	False	None	None
g113.t1	cAMP-dependent protein kinase catalytic subunit	IPR000719,IPR000961,IPR008271,IPR011009	GO:0004672,GO:0004674,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g114.t1	hypothetical protein	IPR036869	None	SSF46565	False	None	False	None	None
g115.t1	hypothetical protein	None	None	None	False	None	False	None	None
g116.t1	hypothetical protein	None	None	None	False	None	False	None	None
g117.t1	Dynein light chain roadblock-type 2	IPR004942,IPR016561	GO:0005868,GO:0007018	SSF103196	False	None	False	None	None
g118.t1	UTP-glucose-1-phosphate uridylyltransferase 2, putative	IPR002618,IPR016267,IPR029044	GO:0003983,GO:0006011,GO:0070569	SSF53448	False	None	False	None	None
g119.t1	hypothetical protein	None	None	None	False	None	False	None	None
g120.t1	Nrap protein, putative	IPR005554,IPR035368,IPR035369,IPR035370	None	None	False	None	False	None	None
g121.t1	hypothetical protein	None	None	None	False	None	False	None	None
g122.t1	actin-related protein 2/3 complex subunit 1	IPR001680,IPR017383,IPR017986,IPR036322	GO:0005515,GO:0005885,GO:0015629,GO:0030833,GO:0034314	SSF50978	False	None	False	None	None
g123.t1	kinetoplast ribosomal PPR-repeat containing protein 4	None	None	None	False	None	False	None	None
g124.t1	glycosyltransferase	IPR026051	GO:0000030	SSF53756	False	None	False	None	None
g125.t1	cyclophilin type peptidyl-prolyl cis-trans isomerase	IPR002130,IPR020892,IPR029000,IPR044666	GO:0000413,GO:0003755,GO:0006457	SSF50891	False	None	False	None	None
g126.t1	Adaptor complexes medium subunit family, putative	None	None	None	False	None	False	None	None
g127.t1	hypothetical protein	IPR027417	None	SSF52540	False	None	False	None	None
g128.t1	serine/threonine protein phosphatase, putative	IPR004843	GO:0016787	SSF56300	False	None	False	None	None
g129.t1	hypothetical protein	None	None	None	False	None	False	None	None
g130.t1	periodic tryptophan protein 2, putative	IPR001680,IPR007148,IPR011044,IPR017986,IPR019775,IPR027145,IPR036322	GO:0005515	SSF50969,SSF50978	False	None	False	None	None
g131.t1	Protein ILITYHIA	IPR016024,IPR021133,IPR033173	GO:0006417,GO:0019887,GO:0019901,GO:0033674,GO:0043022	SSF48371	False	None	False	None	None
g132.t1	30S ribosomal protein S8, putative	IPR000630,IPR035987	GO:0003735,GO:0005840,GO:0006412	SSF56047	False	None	False	None	None
g133.t1	RNA polymerase Rpb5, C-terminal domain	IPR000783,IPR005571,IPR035913,IPR036710,IPR039531	GO:0003677,GO:0003899,GO:0006351	SSF53036,SSF55287	False	None	False	None	None
g134.t1	DNA-directed RNA polymerase subunit H	IPR000783,IPR005571,IPR014381,IPR020608,IPR020609,IPR035913,IPR036710,IPR039531	GO:0003677,GO:0003899,GO:0006351	SSF53036,SSF55287	False	None	False	None	None
g135.t1	Tcc44h21-2.6	IPR003604,IPR022755,IPR036236	GO:0003676,GO:0008270	SSF57667	False	None	False	None	None
g136.t1	Alcohol dehydrogenase 2	IPR001670,IPR018211,IPR039697	GO:0016491,GO:0046872	SSF56796	False	None	False	None	None
g137.t1	Elongation factor Tu	IPR000795,IPR004160,IPR009000,IPR009001,IPR027417,IPR041709	GO:0003924,GO:0005525	SSF50447,SSF50465,SSF52540	False	None	False	None	None
g138.t1	Dynein light chain Tctex-type 1	IPR005334	None	None	False	None	False	None	None
g139.t1	putative methyltransferase	IPR013216,IPR029063	GO:0008168	SSF53335	False	None	False	None	None
g140.t1	Probable citrate synthase, mitochondrial	IPR002020,IPR019810,IPR036969	GO:0046912	SSF48256	False	None	False	None	None
g141.t1	hypothetical protein	None	None	None	False	None	False	None	None
g142.t1	Serine/threonine-protein phosphatase 4 regulatory subunit 1	IPR016024,IPR021133	None	SSF48371	False	None	False	None	None
g143.t1	Sestrin-3	IPR006730	GO:0005634,GO:1901031	None	False	None	False	None	None
g144.t1	CBL-interacting protein kinase 31	IPR000719,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g145.t1	CBL-interacting serine/threonine-protein kinase 23	IPR000719,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g146.t1	CBL-interacting serine/threonine-protein kinase 20	IPR000719,IPR008271,IPR011009	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g147.t1	60S ribosomal protein L10a	IPR002143,IPR023674,IPR028364	GO:0003723,GO:0003735,GO:0006412,GO:0015934	SSF56808	False	None	False	None	None
g148.t1	ATP-dependent zinc metalloprotease FTSH 3, mitochondrial	IPR000642,IPR003593,IPR003959,IPR003960,IPR027417,IPR037219	GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0016887	SSF140990,SSF52540	False	None	False	None	None
g149.t1	Protein dpy-30 homolog	IPR007858,IPR037856	GO:0044666,GO:0048188	None	False	None	False	None	None
g150.t1	40S ribosomal protein S27-2	IPR000592,IPR011332	GO:0003735,GO:0005840,GO:0006412	SSF57829	False	None	False	None	None
g151.t1	tubulin cofactor C domain-containing protein RP2, putative	IPR006599,IPR012945,IPR017901,IPR039093	GO:0005096	None	False	None	False	None	None
g152.t1	hypothetical protein	None	None	None	False	None	False	None	None
g153.t1	Aconitate hydratase 1	IPR000573,IPR001030,IPR006249,IPR018136,IPR036008,IPR044137	None	SSF52016,SSF53732	False	None	False	None	None
g154.t1	BTB/POZ domain-containing protein KCTD21	IPR000210,IPR003131,IPR011333	GO:0005515,GO:0051260	SSF54695	False	None	False	None	None
g155.t1	Uracil-DNA glycosylase	IPR002043,IPR005122,IPR036895	GO:0004844,GO:0006281,GO:0006284	SSF52141	False	None	False	None	None
g156.t1	paralyzed flagella protein 20	IPR001680,IPR017986,IPR019775,IPR020472,IPR036322	GO:0005515	SSF50978	False	None	False	None	None
g157.t1	CAP-Gly domain-containing linker protein 1	IPR000626,IPR000938,IPR029071,IPR036859	GO:0005515	SSF54236,SSF74924	False	None	False	None	None
g158.t1	surface protease GP63	IPR001577	GO:0004222,GO:0006508,GO:0007155,GO:0016020	SSF55486	False	None	False	None	None
g159.t1	CMP-sialic acid transporter	IPR007271	GO:0000139,GO:0015165,GO:0016021,GO:0090481	SSF103481	False	None	False	None	None
g160.t1	hypothetical protein	IPR016024	None	SSF48371	False	None	False	None	None
g161.t1	Probable tubulin polyglutamylase TTLL9	IPR004344,IPR027751	GO:0006464	SSF56059	False	None	False	None	None
g162.t1	Putative GPI-anchor transamidase	IPR001096,IPR028361	GO:0003923,GO:0006508,GO:0008233,GO:0016255,GO:0042765	None	False	None	False	None	None
g163.t1	ATP12 chaperone protein, putative	IPR011419	GO:0043461	SSF160909	False	None	False	None	None
g164.t1	Chaperone protein DnaJ 1	IPR001623,IPR036869	None	SSF46565	False	None	False	None	None
g165.t1	Mitochondrial SSU ribosomal protein, putative	IPR025487	None	None	False	None	False	None	None
g166.t1	hypothetical protein	None	None	None	False	None	False	None	None
g167.t1	mucin-associated surface protein (MASP)	IPR000504,IPR002075,IPR018222,IPR032710,IPR035979,IPR039539	GO:0003676	SSF54427,SSF54928	False	None	False	None	None
g168.t1	Dephospho-CoA kinase	IPR001977	GO:0004140,GO:0005524,GO:0015937	None	False	None	False	None	None
g169.t1	hypothetical protein	None	None	None	False	None	False	None	None
g170.t1	Shaggy-related protein kinase delta	IPR000719,IPR008271,IPR011009,IPR039192	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g171.t1	hypothetical protein	None	None	None	False	None	False	None	None
g172.t1	synaptotagmin, putative	IPR000008,IPR031468,IPR039010	GO:0008289	SSF49562	False	None	False	None	None
g173.t1	60S ribosomal protein L7	IPR036919,IPR039699	None	SSF55129	False	None	False	None	None
g174.t1	RNA-binding protein, putative	IPR000504,IPR035979	GO:0003676	SSF54928	False	None	False	None	None
g175.t1	Activator of 90 kDa heat shock protein ATPase homolog 1	IPR013538,IPR015310,IPR036338,IPR039981	GO:0001671,GO:0051087,GO:0051879	SSF103111,SSF55961	False	None	False	None	None
g176.t1	UDP-galactopyranose mutase	IPR002937,IPR036188	GO:0016491	SSF51905	False	None	False	None	None
g177.t1	Serine/threonine-protein phosphatase 5	IPR001440,IPR004843,IPR006186,IPR011236,IPR011990,IPR013026,IPR013235,IPR019734,IPR041753	GO:0004721,GO:0005515,GO:0006470,GO:0016787	SSF48452,SSF56300	False	None	False	None	None
g178.t1	Protein MAM3	IPR000644,IPR002550,IPR018490	None	SSF51206,SSF54631	False	None	False	None	None
g179.t1	DUF21 domain-containing protein At4g33700	IPR000595,IPR002550,IPR018490	None	SSF51206,SSF54631	False	None	False	None	None
g180.t1	ADP-ribosylation factor-like protein 2-binding protein, putative	None	None	None	False	None	False	None	None
g181.t1	hypothetical protein	IPR013954,IPR036412	None	SSF56784	False	None	False	None	None
g182.t1	Neutral alpha-glucosidase AB	IPR000322,IPR011013,IPR017853,IPR025887	GO:0003824,GO:0004553,GO:0005975,GO:0030246	SSF51011,SSF51445,SSF74650	False	None	False	None	None
g183.t1	nadh-ubiquinone oxidoreductase 39 kda subunit	IPR002225,IPR036291	GO:0003854,GO:0006694,GO:0016616	SSF51735	False	None	False	None	None
g184.t1	transporter	IPR011701,IPR020846,IPR036259	GO:0022857,GO:0055085	SSF103473	False	None	False	None	None
g185.t1	RNA-binding protein 27, putative	IPR035979	GO:0003676	SSF54928	False	None	False	None	None
g186.t1	Diphosphomevalonate decarboxylase	IPR005935,IPR006204,IPR020568,IPR029765,IPR036554,IPR041431	GO:0004163,GO:0005524,GO:0005829,GO:0008299,GO:0016831,GO:0019287	SSF54211,SSF55060	False	None	False	None	None
g187.t1	Adenylate kinase 5, chloroplastic	IPR000850,IPR006259,IPR027417,IPR033690	GO:0004017,GO:0005524,GO:0006139,GO:0016776,GO:0019205	SSF52540	False	None	False	None	None
g188.t1	Cell division cycle protein 48 homolog	IPR003338,IPR003593,IPR003959,IPR003960,IPR004201,IPR005938,IPR009010,IPR027417,IPR029067,IPR041569	GO:0005524,GO:0016787,GO:0016887	SSF50692,SSF52540,SSF54585	False	None	False	None	None
g189.t1	amino acid tansporter, putative	IPR013057	None	None	False	None	False	None	None
g190.t1	serine/cysteine trypsin-like peptidase	IPR016024	None	SSF48371	False	None	False	None	None
g191.t1	hypothetical protein	None	None	None	False	None	False	None	None
g192.t1	The ARF-like 2 binding protein BART, putative	IPR003903,IPR023379,IPR038888	None	None	False	None	False	None	None
g193.t1	Elongation factor 1-beta	IPR001326,IPR014038,IPR036219	GO:0003746,GO:0005853,GO:0006414	SSF54984	False	None	False	None	None
g194.t1	N-terminal region of Chorein, a TM vesicle-mediated sorter, putative	IPR026847,IPR026854,IPR031645,IPR031646	None	None	False	None	False	None	None
g195.t1	Galactose oxidase, central domain containing protein, putative	IPR011498,IPR015915	GO:0005515	SSF117281	False	None	False	None	None
g196.t1	hypothetical protein	None	None	None	False	None	False	None	None
g197.t1	hypothetical protein	None	None	None	False	None	False	None	None
g198.t1	hypothetical protein	None	None	None	False	None	False	None	None
g199.t1	serine/threonine protein kinase	IPR000719,IPR001849,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF50729,SSF56112	False	None	False	None	None
g200.t1	serine/threonine protein kinase	IPR000719,IPR001849,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF50729,SSF56112	False	None	False	None	None
g201.t1	leucine-rich repeat protein (LRRP)	IPR001611	GO:0005515	SSF52058	False	None	False	None	None
g202.t1	Centrosomal protein of 57 kDa, putative	None	None	None	False	None	False	None	None
g203.t1	hypothetical protein	None	None	None	False	None	False	None	None
g204.t1	STAG domain containing protein, putative	IPR013721,IPR016024,IPR020839,IPR039662	None	SSF48371	False	None	False	None	None
g205.t1	hypothetical protein	None	None	None	False	None	False	None	None
g206.t1	Proteasome subunit alpha type-1	IPR000426,IPR001353,IPR023332,IPR029055,IPR035144	GO:0005839,GO:0006511,GO:0019773,GO:0051603	SSF56235	False	None	False	None	None
g207.t1	clathrin heavy chain, putative	IPR000547,IPR015348,IPR016024,IPR016025,IPR016341	GO:0005198,GO:0006886,GO:0016192,GO:0030130,GO:0030132,GO:0032051,GO:0071439	SSF48371,SSF50989	False	None	False	None	None
g208.t1	Proteasome subunit beta type-5	IPR000243,IPR001353,IPR016050,IPR023333,IPR029055	GO:0004298,GO:0005839,GO:0051603	SSF56235	False	None	False	None	None
g209.t1	tRNA pseudouridine synthase A	IPR002942,IPR020103	GO:0001522,GO:0003723,GO:0009451,GO:0009982	SSF55120,SSF55174	False	None	False	None	None
g210.t1	Mitochondrial inner membrane protease ATP23	IPR019165	GO:0004222	None	False	None	False	None	None
g211.t1	hypothetical protein	None	None	None	False	None	False	None	None
g212.t1	phosphatidylinositol N-acetylglucosaminyltransferase subunit C, putative	IPR009450	GO:0006506,GO:0016021,GO:0017176	None	False	None	False	None	None
g213.t1	neurobeachin/beige protein	IPR000409,IPR001680,IPR013320,IPR016024,IPR017986,IPR023362,IPR036322,IPR036372	GO:0005515	SSF48371,SSF49899,SSF50729,SSF50978,SSF81837	False	None	False	None	None
g214.t1	Sec34-like family, putative	IPR007265	GO:0005801,GO:0006886,GO:0016020	None	False	None	False	None	None
g215.t1	hypothetical protein	None	None	None	False	None	False	None	None
g216.t1	mucin-associated surface protein (MASP), putative	None	None	SSF101898	False	None	False	None	None
g217.t1	Glutarate-semialdehyde dehydrogenase	IPR015590,IPR016161,IPR029510	GO:0016491	SSF53720	False	None	False	None	None
g218.t1	hypothetical protein	None	None	None	False	None	False	None	None
g219.t1	TPR repeat, putative	IPR011990,IPR013026,IPR013105,IPR019734	GO:0005515	SSF48452	False	None	False	None	None
g220.t1	5'-3' exonuclease XRNA, putative	IPR004859,IPR027073,IPR041412	GO:0003676,GO:0004527	None	False	None	False	None	None
g221.t1	keratin filament binding protein	None	None	None	False	None	False	None	None
g222.t1	MORN repeat containing protein	IPR003409	None	SSF82185	False	None	False	None	None
g223.t1	hypothetical protein	None	None	None	False	None	False	None	None
g224.t1	ATP-dependent RNA helicase has1	IPR001650,IPR011545,IPR014001,IPR025313,IPR027417	GO:0003676,GO:0005524	SSF52540	False	None	False	None	None
g225.t1	Protein N-terminal glutamine amidohydrolase	IPR023128,IPR039733	GO:0008418,GO:0070773	None	False	None	False	None	None
g226.t1	ATP-dependent rRNA helicase RRP3	IPR000629,IPR001650,IPR011545,IPR014001,IPR014014,IPR027417	GO:0003676,GO:0004386,GO:0005524	SSF52540	False	None	False	None	None
g227.t1	dynein heavy chain, putative	IPR005324	GO:0003735,GO:0005840,GO:0006412	SSF54768	False	None	False	None	None
